employee_id,country,year,performance_score
ANON_76X90X48X48X48X48X49X48X48X49X55X,France,2023,3
ANON_76X90X48X48X48X48X49X48X48X50X50X,France,2023,3
ANON_76X90X48X48X48X48X49X48X48X50X52X,France,2023,5
ANON_76X90X48X48X48X48X49X48X48X51X51X,France,2023,3
ANON_76X90X48X48X48X48X49X48X48X52X48X,France,2023,3
ANON_76X90X48X48X48X48X49X48X48X52X50X,France,2023,3
ANON_76X90X48X48X48X48X49X48X48X52X53X,France,2023,3
ANON_76X90X48X48X48X48X49X48X48X52X54X,France,2023,4
ANON_76X90X48X48X48X48X49X48X48X53X54X,France,2023,4
ANON_76X90X48X48X48X48X49X48X48X54X49X,France,2023,2
ANON_76X90X48X48X48X48X49X48X48X54X54X,France,2023,4
ANON_76X90X48X48X48X48X49X48X48X55X50X,France,2023,2
ANON_76X90X48X48X48X48X49X48X48X55X52X,France,2023,3
ANON_76X90X48X48X48X48X49X48X48X55X55X,France,2023,4
ANON_76X90X48X48X48X48X49X48X48X56X49X,France,2023,3
ANON_76X90X48X48X48X48X49X48X48X56X50X,France,2023,3
ANON_76X90X48X48X48X48X49X48X48X57X56X,France,2023,3
ANON_76X90X48X48X48X48X49X48X49X48X54X,France,2023,3
ANON_76X90X48X48X48X48X49X48X49X48X56X,France,2023,4
ANON_76X90X48X48X48X48X49X48X49X51X49X,France,2023,4
ANON_76X90X48X48X48X48X49X48X49X52X51X,France,2023,3
ANON_76X90X48X48X48X48X49X48X49X52X53X,France,2023,3
ANON_76X90X48X48X48X48X49X48X49X53X54X,France,2023,3
ANON_76X90X48X48X48X48X49X48X49X54X51X,France,2023,4
ANON_76X90X48X48X48X48X49X48X49X54X53X,France,2023,4
ANON_76X90X48X48X48X48X49X48X49X55X49X,France,2023,3
ANON_76X90X48X48X48X48X49X48X49X55X51X,France,2023,3
ANON_76X90X48X48X48X48X49X48X49X56X51X,France,2023,2
ANON_76X90X48X48X48X48X49X48X50X48X54X,France,2023,5
