employee_id,absence_days,absence_events,main_group
ANON_68X49X48X48X48X48X70X74X55X56X57X,24.0,25,Congés
ANON_68X49X48X48X48X48X70X75X51X57X53X,36.0,54,Congés
ANON_68X49X48X48X48X48X70X75X54X53X50X,35.5,46,Congés
ANON_68X49X48X48X48X48X70X76X48X55X51X,35.0,45,Congés
ANON_68X49X48X48X48X48X70X76X49X49X57X,37.0,42,Congés
ANON_68X49X48X48X48X48X70X76X51X52X51X,31.0,45,Congés
ANON_68X49X48X48X48X48X70X77X49X54X54X,43.5,56,Congés
ANON_68X49X48X48X48X48X70X77X52X48X53X,33.5,48,Congés
ANON_68X49X48X48X48X48X70X77X54X48X55X,27.5,31,Congés
ANON_68X49X48X48X48X48X70X77X55X57X48X,36.0,39,Congés
ANON_68X49X48X48X48X48X70X77X56X49X49X,56.0,68,Congés
ANON_68X49X48X48X48X48X70X81X72X53X84X,34.0,45,Congés
ANON_68X49X48X48X48X48X70X81X72X55X67X,29.5,36,Congés
ANON_68X49X48X48X48X48X70X81X72X55X69X,34.0,46,Congés
ANON_68X49X48X48X48X48X70X81X72X55X70X,35.0,41,Congés
ANON_68X49X48X48X48X48X70X81X72X55X71X,39.0,50,Congés
ANON_68X49X48X48X48X48X70X81X72X55X74X,24.0,26,Congés
ANON_68X49X48X48X48X48X70X81X72X55X77X,23.0,30,Congés
ANON_68X49X48X48X48X48X70X81X72X55X80X,35.0,44,Congés
ANON_68X49X48X48X48X48X70X81X72X55X81X,21.0,31,Congés
ANON_68X49X48X48X48X48X70X81X72X55X82X,63.0,87,Congés
ANON_68X49X48X48X48X48X70X81X72X55X83X,33.5,41,Congés
ANON_68X49X48X48X48X48X70X81X78X55X51X,30.5,36,Congés
ANON_68X49X48X48X48X48X70X81X82X48X80X,34.0,47,Congés
ANON_68X49X48X48X48X48X70X81X84X54X74X,34.5,44,Congés
ANON_68X49X48X48X48X48X70X81X85X52X75X,42.0,50,Congés
ANON_68X49X48X48X48X48X70X81X85X55X52X,32.5,44,Congés
ANON_68X49X48X48X48X48X70X81X88X48X80X,34.0,42,Congés
ANON_68X49X48X48X48X48X70X81X88X49X57X,28.0,35,Congés
ANON_68X49X48X48X48X48X70X82X49X48X76X,133.0,195,Maternité et paternité
ANON_68X49X48X48X48X48X70X82X51X50X55X,44.0,56,Congés
ANON_68X49X48X48X48X48X70X82X52X54X87X,124.0,169,Maladie
ANON_68X49X48X48X48X48X70X82X52X57X48X,24.5,29,Congés
ANON_68X49X48X48X48X48X70X82X53X55X80X,23.0,34,Absences Autres motifs
ANON_68X49X48X48X48X48X70X82X56X52X56X,32.5,38,Congés
ANON_68X49X48X48X48X48X70X82X57X57X65X,40.0,48,Congés
ANON_68X49X48X48X48X48X70X82X69X57X67X,34.5,42,Congés
ANON_68X49X48X48X48X48X70X82X71X55X56X,15.0,19,Congés
ANON_68X49X48X48X48X48X70X82X72X52X53X,35.0,37,Congés
ANON_68X49X48X48X48X48X70X82X78X49X90X,72.0,94,Maladie
ANON_68X49X48X48X48X48X70X82X78X51X54X,38.0,48,Congés
ANON_68X49X48X48X48X48X70X84X52X50X72X,64.0,72,Congés
ANON_68X49X48X48X48X48X70X84X52X54X67X,34.0,41,Congés
ANON_68X49X48X48X48X48X70X84X52X55X72X,53.5,70,Congés
ANON_68X49X48X48X48X48X70X84X52X55X90X,42.0,51,Congés
