employee_id,country,performance_score
ANON_67X57X48X48X48X48X69X53X55X49X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X55X50X49X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X53X55X51X50X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X53X55X51X51X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X53X55X51X57X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X53X55X52X48X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X55X52X49X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X55X52X53X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X53X55X52X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X55X52X56X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X55X53X49X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X55X53X53X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X55X53X54X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X55X54X48X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X55X56X49X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X55X57X48X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X53X56X48X52X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X56X48X56X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X53X56X50X49X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X53X56X54X56X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X56X57X49X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X53X56X57X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X57X50X56X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X57X51X53X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X53X57X53X57X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X57X55X52X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X53X57X56X56X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X57X57X54X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X54X48X48X49X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X54X48X53X50X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X54X48X53X56X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X54X48X54X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X54X48X54X57X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X54X51X48X52X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X54X51X51X53X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X54X51X51X54X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X54X51X52X57X,Luxembourg,3.0
